Week;Projectnaam;Werkzaamheden;Uren;;;;;
9;us2;Ubuntu;02:45;;;;;
9;us4;Database;02:50;;;;;
9;us4;UrenRegi;02:10;;;;;
9;Trainingen;PHP opd;01:25;;;;;
9;Trainigen;Ubuntu en php op windows en linux;01:30;;;;;
9;us5;BeheerProc;03:40;;;;;
9;us4;UrenRegi;00:35;;;;;
9;us4;Zoekoptie;03:30;;;;;
9;us4;Backup IIS;02:30;;;;;
9;ZIW;Excel;02:10;;;;;
9;ZIW;Excel;02:05;;;;;
9;us5;Backup IIS;;;;;;
9;us5;BeheerProc;;;;;;
9;Trainingen;SD opd;;;;;;
9;us4;Zoekoptie;;;;;;
9;us4;UrenRegi;;;;;;
9;x;;02:00;;;;;
1,1,1,1
1,1,1,1
